Date,Symbol,Close Price,Avg Entry Price,Quantity,PnL
2025-01-16,RPPINFRA.NS,180.44,194.0,25,-339.0
2025-01-16,SRHHYPOLTD.NS,701.95,778.5,6,-459.3
2025-01-16,SUKHJITS.NS,249.95,264.75,18,-266.4
2025-01-16,TGVSL.BO,105.5,104.5,47,47.0
2025-01-16,VLSFINANCE.NS,306.65,334.58,14,-391.02
2025-01-16,WELCORP.NS,766.7,802.8,6,-216.6
2025-01-17,CEATLTD.NS,3024.55,3208.42,2,-367.74
2025-01-17,EIDPARRY.NS,848.05,868.5,5,-102.25
2025-01-17,EMPIND.BO,1137.35,1275.0,4,-550.6
2025-01-17,GHCL.NS,703.2,709.16,7,-41.72
2025-01-17,GICRE.NS,437.7,443.4,10,-57.0
2025-01-17,GSPL.NS,364.0,353.49,13,136.63
2025-01-17,HIMATSEIDE.NS,178.6,185.88,26,-189.28
2025-01-17,HINDPETRO.NS,358.9,408.25,12,-592.2
2025-01-17,INDIAGLYCO.NS,1331.55,1254.65,4,307.6
2025-01-17,KOTHARIPET.NS,177.62,187.95,25,-258.25
2025-01-17,KOTHARIPRO.NS,85.82,99.13,48,-638.88
2025-01-17,MANGCHEFER.NS,172.59,154.36,31,565.13
2025-01-17,MAZDA.NS,392.57,298.61,15,1409.4
2025-01-17,MONTECARLO.NS,666.85,810.82,6,-863.82
2025-01-17,NATIONALUM.NS,201.25,210.67,23,-216.66
2025-01-17,NAVA.NS,433.85,495.13,10,-612.8
2025-01-17,NITINSPIN.NS,399.2,433.95,11,-382.25
2025-01-17,RANEHOLDIN.NS,1608.05,1748.91,3,-422.58
2025-01-17,RPPINFRA.NS,177.39,194.0,25,-415.25
2025-01-17,SRHHYPOLTD.NS,693.1,778.5,6,-512.4
2025-01-17,SUKHJITS.NS,246.0,264.75,18,-337.5
2025-01-17,TGVSL.BO,105.8,104.5,47,61.1
2025-01-17,VLSFINANCE.NS,303.85,334.58,14,-430.22
2025-01-17,WELCORP.NS,779.65,802.8,6,-138.9
2025-01-20,CEATLTD.NS,3014.7,3208.42,2,-387.44
2025-01-20,EIDPARRY.NS,851.95,868.5,5,-82.75
2025-01-20,EMPIND.BO,1135.4,1275.0,4,-558.4
2025-01-20,GHCL.NS,730.05,709.16,7,146.23
2025-01-20,GICRE.NS,451.55,443.4,10,81.5
2025-01-20,GSPL.NS,367.75,353.49,13,185.38
2025-01-20,HIMATSEIDE.NS,183.95,185.88,26,-50.18
2025-01-20,HINDPETRO.NS,360.35,408.25,12,-574.8
2025-01-20,INDIAGLYCO.NS,1414.0,1254.65,4,637.4
2025-01-20,KOTHARIPET.NS,186.53,187.95,25,-35.5
2025-01-20,KOTHARIPRO.NS,89.0,99.13,48,-486.24
2025-01-20,MANGCHEFER.NS,171.38,154.36,31,527.62
2025-01-20,MAZDA.NS,368.82,298.61,15,1053.15
2025-01-20,MONTECARLO.NS,664.55,810.82,6,-877.62
2025-01-20,NATIONALUM.NS,206.15,210.67,23,-103.96
